cluster,gene,score,logfoldchange,pval_adj
0,Neurod6,33.9705810546875,3.6564958095550537,1.1461657274631065e-248
0,Crym,33.66560745239258,4.358447074890137,1.7427372171039035e-244
0,Hpca,33.568058013916016,3.570420503616333,3.094510334891814e-243
0,Cpne6,33.474769592285156,3.43327260017395,5.308487862878996e-242
0,Tspan13,33.140899658203125,3.1475231647491455,2.8973694326694146e-237
0,Gria1,32.55852127075195,3.3501412868499756,4.999998023817173e-229
0,Fam131a,32.37718963623047,2.806478500366211,1.5536036251362816e-226
0,Camkv,32.1826057434082,2.807098865509033,7.307882300400825e-224
0,Ppp3ca,32.11294937133789,2.9399383068084717,6.111270793804823e-223
0,Gria2,31.87118911743164,2.565725564956665,1.2665810285186167e-219
1,Trf,29.644874572753906,6.397874355316162,7.468513406260201e-189
1,Ermn,29.28840446472168,5.114749908447266,1.3780358530124438e-184
1,Car2,29.082921981811523,5.005504131317139,3.7216660809182055e-182
1,Apod,29.002443313598633,5.9505743980407715,2.897854694503151e-181
1,Cryab,28.926651000976562,4.380405426025391,2.08790927426414e-180
1,Mal,28.82610321044922,5.8690948486328125,3.184159716975062e-179
1,Ugt8a,28.80885887145996,5.1053643226623535,4.488872114157114e-179
1,Plp1,28.648433685302734,6.657088756561279,3.964003836080649e-177
1,Dbndd2,28.519906997680664,3.4000461101531982,1.3945767327004736e-175
1,Aspa,28.452587127685547,4.690788745880127,8.561529598909198e-175
2,Pcsk2,24.30072593688965,2.779444932937622,3.6425338151285706e-126
2,Arpp21,22.354358673095703,2.571821689605713,1.0356115544701795e-106
2,Snap25,22.330806732177734,2.520639181137085,1.1697473597683285e-106
2,Mef2c,21.259336471557617,3.1667046546936035,1.2776229242850185e-96
2,Atp2b2,20.379261016845703,2.1532084941864014,9.664011822650166e-89
2,Tagln3,20.028606414794922,2.3274097442626953,9.77860075356799e-86
2,Calm1,19.75435447692871,1.2939167022705078,1.9883240203534977e-83
2,Osbpl1a,19.72150993347168,1.9875214099884033,3.33245323819464e-83
2,Camk2n1,19.671567916870117,2.284482717514038,7.94165466344615e-83
2,Stx1a,19.15828514099121,2.2869060039520264,1.5612511443041865e-78
3,Gad1,27.530521392822266,7.169139385223389,1.4321911657860778e-162
3,Gad2,27.38427734375,7.108609676361084,3.991765305626245e-161
3,Nap1l5,25.93990135192871,3.5132687091827393,1.4902846151183244e-144
3,Vstm2a,25.428165435791016,4.775481224060059,5.083392854067785e-139
3,Slc6a1,25.42473030090332,4.590260982513428,5.083392854067785e-139
3,Slc32a1,25.167125701904297,6.990013122558594,2.8932804427804872e-136
3,Tspyl4,24.667335510253906,2.385965347290039,6.479859874883788e-131
3,Cplx1,24.019546508789062,3.4444425106048584,4.108259649477804e-124
3,Kcnc1,23.73725128173828,3.637786388397217,3.1268288834147783e-121
3,Rab3c,23.660810470581055,3.3393728733062744,1.7278553648931968e-120
4,Mbp,19.287914276123047,3.9110589027404785,1.2833856774937758e-78
4,Cnp,18.74791145324707,3.7166168689727783,1.9040340554412107e-74
4,Tspan2,18.50310707092285,3.1435940265655518,1.2287569584372483e-72
4,Mag,18.407665252685547,3.408613681793213,5.391749800450731e-72
4,Mobp,18.311630249023438,3.5576510429382324,2.5282373280264607e-71
4,Cldn11,18.29526710510254,3.1602795124053955,2.845047790868195e-71
4,Sirt2,17.643461227416992,2.6157262325286865,3.086708286664688e-66
4,Plp1,17.247234344482422,5.203516006469727,2.7751116923146957e-63
4,Ugt8a,16.818323135375977,3.346916437149048,3.764907433832627e-60
4,Adamts4,16.796810150146484,2.7592670917510986,4.87058445172633e-60
5,Itm2a,23.23982810974121,6.535309791564941,3.4095630961736748e-115
5,Sparc,22.101150512695312,5.232802391052246,2.9136879426667815e-104
5,Cldn5,21.693498611450195,6.454652786254883,1.4898290596576415e-100
5,Ly6c1,21.390050888061523,6.757713317871094,7.819596225200127e-98
5,Ptprb,21.08395767211914,5.846436500549316,4.223091950076363e-95
5,Bsg,21.013341903686523,3.0357749462127686,1.561082374121475e-94
5,Esam,20.6630802154541,5.265291690826416,2.0117591291601004e-91
5,Pltp,20.2589111328125,5.127806663513184,7.008440196735116e-88
5,Slco1a4,20.163654327392578,6.260061740875244,4.291798321803604e-87
5,Flt1,20.094404220581055,6.312478065490723,1.5622327536263352e-86
6,Clu,21.393787384033203,5.283736228942871,2.8870584984649646e-97
6,Slc1a2,21.359466552734375,4.869784832000732,3.0111749234512434e-97
6,Gja1,21.28247833251953,6.098643779754639,1.040138098942029e-96
6,Slc1a3,21.20621681213379,6.337226390838623,3.956482348266509e-96
6,Atp1a2,20.93976593017578,5.980105876922607,8.798307927772679e-94
6,Aqp4,20.917339324951172,6.8221259117126465,1.1736041876927757e-93
6,Mt1,20.882728576660156,5.247082233428955,2.021999110699844e-93
6,Ppap2b,20.87763023376465,5.218037128448486,2.021999110699844e-93
6,Aldoc,20.86297035217285,6.20811128616333,2.4423483229344047e-93
6,Gpr37l1,20.812583923339844,5.869093418121338,6.296341356165977e-93
7,Cst3,11.409048080444336,2.850280523300171,7.127004147614059e-26
7,Sirpa,9.365835189819336,1.31080961227417,7.135028190799141e-17
7,Hexb,9.029284477233887,3.509991407394409,1.089374073342462e-15
7,Apoe,8.532230377197266,1.7336541414260864,6.787553453919132e-14
7,Ctss,8.123577117919922,4.281682014465332,1.7121644189312432e-12
7,P2ry12,7.752971649169922,4.2762370109558105,2.8295959159237485e-11
7,Slc1a3,7.6152424812316895,1.6152327060699463,7.111192022510668e-11
7,Csf1r,7.397693634033203,3.422218084335327,3.275970166040049e-10
7,Bcan,7.372328281402588,1.405347466468811,3.5235675918957683e-10
7,Cx3cr1,7.259532928466797,3.9970803260803223,7.346359388484821e-10
8,Sparc,12.845272064208984,3.172595262527466,1.7292109012963658e-33
8,Pltp,12.198565483093262,3.5562407970428467,2.991531145142466e-30
8,Dbi,11.563187599182129,2.789834499359131,3.9915276572697685e-27
8,Cd9,10.652925491333008,2.4771158695220947,7.989337325430244e-23
8,Slc2a1,10.21773624420166,2.2965171337127686,6.247058215801733e-21
8,Gng5,10.122862815856934,2.000854730606079,1.3788474371583183e-20
8,Plekhb1,9.709091186523438,2.1324687004089355,5.795450914085702e-19
8,Jun,9.55397891998291,1.9345364570617676,2.3605080290955847e-18
8,Tm4sf1,9.3848237991333,3.173686981201172,9.168689226634058e-18
8,Itm2a,9.36665153503418,3.2034151554107666,1.0114404982402935e-17
9,Pf4,17.48964500427246,11.449980735778809,1.979948830620915e-64
9,Mrc1,17.478376388549805,10.385088920593262,1.979948830620915e-64
9,Sepp1,16.982099533081055,5.431755065917969,5.2455582543606535e-61
9,Csf1r,16.979373931884766,6.939698219299316,5.2455582543606535e-61
9,Lyz2,16.969257354736328,10.801623344421387,5.2455582543606535e-61
9,Tyrobp,16.84234046936035,8.062427520751953,3.7642785025634815e-60
9,Ms4a7,16.805082321166992,10.231560707092285,6.052115138570323e-60
9,C1qa,16.779033660888672,8.034669876098633,8.214040480633648e-60
9,Stab1,16.754196166992188,8.424361228942871,1.1089331326485074e-59
9,Fcgr3,16.684406280517578,8.185623168945312,3.2187890820733527e-59
10,Myl9,15.254441261291504,7.755572319030762,2.9089234388815006e-48
10,Crip1,14.285880088806152,7.505013942718506,2.534373094905263e-42
10,Acta2,14.23547077178955,8.888530731201172,3.479380987524862e-42
10,Tpm1,13.9371919631958,3.645799398422241,1.7800024300684236e-40
10,Tagln,13.851604461669922,8.158219337463379,4.705655517679927e-40
10,Mgp,13.61007022857666,5.949910640716553,9.558305860229181e-39
10,Tpm2,13.60905933380127,7.206104278564453,9.558305860229181e-39
10,Myh11,13.456618309020996,7.212784290313721,6.655226321134989e-38
10,Mustn1,13.084949493408203,7.023610591888428,8.435747402840904e-36
10,Mylk,13.021129608154297,5.212059497833252,1.7549097666015445e-35
11,Slc1a3,12.287402153015137,3.8511998653411865,2.0019939967559573e-30
11,Atp1a2,12.208333969116211,3.973879814147949,2.6532682050177487e-30
11,Slc1a2,11.662396430969238,2.8323071002960205,1.250651231119376e-27
11,Gpr37l1,11.354693412780762,3.7683043479919434,3.323298980522383e-26
11,Slc4a4,11.154655456542969,2.9981727600097656,2.5704794217210523e-25
11,Ppap2b,11.135591506958008,3.093447208404541,2.6536301693104423e-25
11,Ntsr2,10.990689277648926,3.258326530456543,1.1447176639026862e-24
11,Mag,10.710416793823242,3.4527382850646973,1.993196119911173e-23
11,Bcan,10.699650764465332,3.1984050273895264,1.993196119911173e-23
11,Gja1,10.696770668029785,3.261349678039551,1.993196119911173e-23
